team,year,team_url
Abilene Christian,2026,abilene-christian
Air Force,2026,air-force
Akron,2026,akron
Alabama,2026,alabama
Alabama A&M,2026,alabama-am
Alabama State,2026,alabama-state
Albany (NY),2026,albany-ny
Alcorn State,2026,alcorn-state
American,2026,american
Appalachian State,2026,appalachian-state
Arizona,2026,arizona
Arizona State,2026,arizona-state
Arkansas,2026,arkansas
Arkansas State,2026,arkansas-state
Arkansas-Pine Bluff,2026,arkansas-pine-bluff
Army,2026,army
Auburn,2026,auburn
Austin Peay,2026,austin-peay
Ball State,2026,ball-state
Baylor,2026,baylor
Bellarmine,2026,bellarmine
Belmont,2026,belmont
Bethune-Cookman,2026,bethune-cookman
Binghamton,2026,binghamton
Boise State,2026,boise-state
Boston College,2026,boston-college
Boston University,2026,boston-university
Bowling Green,2026,bowling-green-state
Bradley,2026,bradley
Brigham Young,2026,brigham-young
Brown,2026,brown
Bryant,2026,bryant
Bucknell,2026,bucknell
Buffalo,2026,buffalo
Butler,2026,butler
Cal Poly,2026,cal-poly
Cal State Bakersfield,2026,cal-state-bakersfield
Cal State Fullerton,2026,cal-state-fullerton
Cal State Northridge,2026,cal-state-northridge
California,2026,california
California Baptist,2026,california-baptist
Campbell,2026,campbell
Canisius,2026,canisius
Central Arkansas,2026,central-arkansas
Central Connecticut State,2026,central-connecticut-state
Central Michigan,2026,central-michigan
Charleston Southern,2026,charleston-southern
Charlotte,2026,charlotte
Chattanooga,2026,chattanooga
Chicago State,2026,chicago-state
Cincinnati,2026,cincinnati
Clemson,2026,clemson
Cleveland State,2026,cleveland-state
Coastal Carolina,2026,coastal-carolina
Colgate,2026,colgate
College of Charleston,2026,college-of-charleston
Colorado,2026,colorado
Colorado State,2026,colorado-state
Columbia,2026,columbia
Connecticut,2026,connecticut
Coppin State,2026,coppin-state
Cornell,2026,cornell
Creighton,2026,creighton
Dartmouth,2026,dartmouth
Davidson,2026,davidson
Dayton,2026,dayton
Delaware,2026,delaware
Delaware State,2026,delaware-state
Denver,2026,denver
DePaul,2026,depaul
Detroit Mercy,2026,detroit-mercy
Drake,2026,drake
Drexel,2026,drexel
Duke,2026,duke
Duquesne,2026,duquesne
East Carolina,2026,east-carolina
East Tennessee State,2026,east-tennessee-state
East Texas A&M,2026,texas-am-commerce
Eastern Illinois,2026,eastern-illinois
Eastern Kentucky,2026,eastern-kentucky
Eastern Michigan,2026,eastern-michigan
Eastern Washington,2026,eastern-washington
Elon,2026,elon
Evansville,2026,evansville
Fairfield,2026,fairfield
FDU,2026,fairleigh-dickinson
Florida,2026,florida
Florida A&M,2026,florida-am
Florida Atlantic,2026,florida-atlantic
Florida Gulf Coast,2026,florida-gulf-coast
Florida International,2026,florida-international
Florida State,2026,florida-state
Fordham,2026,fordham
Fresno State,2026,fresno-state
Furman,2026,furman
Gardner-Webb,2026,gardner-webb
George Mason,2026,george-mason
George Washington,2026,george-washington
Georgetown,2026,georgetown
Georgia,2026,georgia
Georgia Southern,2026,georgia-southern
Georgia State,2026,georgia-state
Georgia Tech,2026,georgia-tech
Gonzaga,2026,gonzaga
Grambling,2026,grambling
Grand Canyon,2026,grand-canyon
Green Bay,2026,green-bay
Hampton,2026,hampton
Hartford Hawks,2023,hartford
Harvard,2026,harvard
Hawaii,2026,hawaii
High Point,2026,high-point
Hofstra,2026,hofstra
Holy Cross,2026,holy-cross
Houston,2026,houston
Houston Christian,2026,houston-baptist
Howard,2026,howard
Idaho,2026,idaho
Idaho State,2026,idaho-state
Illinois,2026,illinois
Illinois State,2026,illinois-state
Illinois-Chicago,2026,illinois-chicago
Incarnate Word,2026,incarnate-word
Indiana,2026,indiana
Indiana State,2026,indiana-state
Iona,2026,iona
Iowa,2026,iowa
Iowa State,2026,iowa-state
IU Indy,2026,iupui
Jackson State,2026,jackson-state
Jacksonville,2026,jacksonville
Jacksonville State,2026,jacksonville-state
James Madison,2026,james-madison
Kansas,2026,kansas
Kansas City,2026,missouri-kansas-city
Kansas State,2026,kansas-state
Kennesaw State,2026,kennesaw-state
Kent State,2026,kent-state
Kentucky,2026,kentucky
La Salle,2026,la-salle
Lafayette,2026,lafayette
Lamar,2026,lamar
Le Moyne,2026,le-moyne
Lehigh,2026,lehigh
Liberty,2026,liberty
Lindenwood,2026,lindenwood
Lipscomb,2026,lipscomb
Little Rock,2026,arkansas-little-rock
Long Beach State,2026,long-beach-state
Long Island University,2026,long-island-university
Longwood,2026,longwood
Louisiana,2026,louisiana-lafayette
Louisiana State,2026,louisiana-state
Louisiana Tech,2026,louisiana-tech
Louisiana-Monroe,2026,louisiana-monroe
Louisville,2026,louisville
Loyola (IL),2026,loyola-il
Loyola (MD),2026,loyola-md
Loyola Marymount,2026,loyola-marymount
Maine,2026,maine
Manhattan,2026,manhattan
Marist,2026,marist
Marquette,2026,marquette
Marshall,2026,marshall
Maryland,2026,maryland
Maryland-Baltimore County,2026,maryland-baltimore-county
Maryland-Eastern Shore,2026,maryland-eastern-shore
Massachusetts,2026,massachusetts
Massachusetts-Lowell,2026,massachusetts-lowell
McNeese State,2026,mcneese-state
Memphis,2026,memphis
Mercer,2026,mercer
Mercyhurst,2026,mercyhurst
Merrimack,2026,merrimack
Miami (FL),2026,miami-fl
Miami (OH),2026,miami-oh
Michigan,2026,michigan
Michigan State,2026,michigan-state
Middle Tennessee,2026,middle-tennessee
Milwaukee,2026,milwaukee
Minnesota,2026,minnesota
Mississippi,2026,mississippi
Mississippi State,2026,mississippi-state
Mississippi Valley State,2026,mississippi-valley-state
Missouri,2026,missouri
Missouri State,2026,missouri-state
Monmouth,2026,monmouth
Montana,2026,montana
Montana State,2026,montana-state
Morehead State,2026,morehead-state
Morgan State,2026,morgan-state
Mount St. Mary's,2026,mount-st-marys
Murray State,2026,murray-state
Navy,2026,navy
NC State,2026,north-carolina-state
Nebraska,2026,nebraska
Nevada,2026,nevada
Nevada-Las Vegas,2026,nevada-las-vegas
New Hampshire,2026,new-hampshire
New Haven,2026,new-haven
New Mexico,2026,new-mexico
New Mexico State,2026,new-mexico-state
New Orleans,2026,new-orleans
Niagara,2026,niagara
Nicholls State,2026,nicholls-state
NJIT,2026,njit
Norfolk State,2026,norfolk-state
North Alabama,2026,north-alabama
North Carolina,2026,north-carolina
North Carolina A&T,2026,north-carolina-at
North Carolina Central,2026,north-carolina-central
North Dakota,2026,north-dakota
North Dakota State,2026,north-dakota-state
North Florida,2026,north-florida
North Texas,2026,north-texas
Northeastern,2026,northeastern
Northern Arizona,2026,northern-arizona
Northern Colorado,2026,northern-colorado
Northern Illinois,2026,northern-illinois
Northern Iowa,2026,northern-iowa
Northern Kentucky,2026,northern-kentucky
Northwestern,2026,northwestern
Northwestern State,2026,northwestern-state
Notre Dame,2026,notre-dame
Oakland,2026,oakland
Ohio,2026,ohio
Ohio State,2026,ohio-state
Oklahoma,2026,oklahoma
Oklahoma State,2026,oklahoma-state
Old Dominion,2026,old-dominion
Omaha,2026,nebraska-omaha
Oral Roberts,2026,oral-roberts
Oregon,2026,oregon
Oregon State,2026,oregon-state
Pacific,2026,pacific
Penn State,2026,penn-state
Pennsylvania,2026,pennsylvania
Pepperdine,2026,pepperdine
Pittsburgh,2026,pittsburgh
Portland,2026,portland
Portland State,2026,portland-state
Prairie View,2026,prairie-view
Presbyterian,2026,presbyterian
Princeton,2026,princeton
Providence,2026,providence
Purdue,2026,purdue
Purdue Fort Wayne,2026,ipfw
Queens (NC),2026,queens-nc
Quinnipiac,2026,quinnipiac
Radford,2026,radford
Rhode Island,2026,rhode-island
Rice,2026,rice
Richmond,2026,richmond
Rider,2026,rider
Robert Morris,2026,robert-morris
Rutgers,2026,rutgers
Sacramento State,2026,sacramento-state
Sacred Heart,2026,sacred-heart
Saint Francis (PA),2026,saint-francis-pa
Saint Joseph's,2026,saint-josephs
Saint Louis,2026,saint-louis
Saint Mary's (CA),2026,saint-marys-ca
Saint Peter's,2026,saint-peters
Sam Houston,2026,sam-houston-state
Samford,2026,samford
San Diego,2026,san-diego
San Diego State,2026,san-diego-state
San Francisco,2026,san-francisco
San Jose State,2026,san-jose-state
Santa Clara,2026,santa-clara
Savannah State Tigers,2019,savannah-state
Seattle,2026,seattle
Seton Hall,2026,seton-hall
Siena,2026,siena
South Alabama,2026,south-alabama
South Carolina,2026,south-carolina
South Carolina State,2026,south-carolina-state
South Carolina Upstate,2026,south-carolina-upstate
South Dakota,2026,south-dakota
South Dakota State,2026,south-dakota-state
South Florida,2026,south-florida
Southeast Missouri State,2026,southeast-missouri-state
Southeastern Louisiana,2026,southeastern-louisiana
Southern,2026,southern
Southern California,2026,southern-california
Southern Illinois,2026,southern-illinois
Southern Illinois-Edwardsville,2026,southern-illinois-edwardsville
Southern Indiana,2026,southern-indiana
Southern Methodist,2026,southern-methodist
Southern Mississippi,2026,southern-mississippi
Southern Utah,2026,southern-utah
St. Bonaventure,2026,st-bonaventure
St. Francis (NY) Terriers,2023,st-francis-ny
St. John's (NY),2026,st-johns-ny
St. Thomas,2026,st-thomas-mn
Stanford,2026,stanford
Stephen F. Austin,2026,stephen-f-austin
Stetson,2026,stetson
Stonehill,2026,stonehill
Stony Brook,2026,stony-brook
Syracuse,2026,syracuse
Tarleton State,2026,tarleton-state
TCU,2026,texas-christian
Temple,2026,temple
Tennessee,2026,tennessee
Tennessee State,2026,tennessee-state
Tennessee Tech,2026,tennessee-tech
Tennessee-Martin,2026,tennessee-martin
Texas,2026,texas
Texas A&M,2026,texas-am
Texas A&M-Corpus Christi,2026,texas-am-corpus-christi
Texas Southern,2026,texas-southern
Texas State,2026,texas-state
Texas Tech,2026,texas-tech
Texas-Rio Grande Valley,2026,texas-pan-american
The Citadel,2026,citadel
Toledo,2026,toledo
Towson,2026,towson
Troy,2026,troy
Tulane,2026,tulane
Tulsa,2026,tulsa
UAB,2026,alabama-birmingham
UC Davis,2026,california-davis
UC Irvine,2026,california-irvine
UC Riverside,2026,california-riverside
UC San Diego,2026,california-san-diego
UC Santa Barbara,2026,california-santa-barbara
UCF,2026,central-florida
UCLA,2026,ucla
UNC Asheville,2026,north-carolina-asheville
UNC Greensboro,2026,north-carolina-greensboro
UNC Wilmington,2026,north-carolina-wilmington
UT Arlington,2026,texas-arlington
Utah,2026,utah
Utah State,2026,utah-state
Utah Tech,2026,dixie-state
Utah Valley,2026,utah-valley
UTEP,2026,texas-el-paso
UTSA,2026,texas-san-antonio
Valparaiso,2026,valparaiso
Vanderbilt,2026,vanderbilt
Vermont,2026,vermont
Villanova,2026,villanova
Virginia,2026,virginia
Virginia Commonwealth,2026,virginia-commonwealth
Virginia Military Institute,2026,virginia-military-institute
Virginia Tech,2026,virginia-tech
Wagner,2026,wagner
Wake Forest,2026,wake-forest
Washington,2026,washington
Washington State,2026,washington-state
Weber State,2026,weber-state
West Georgia,2026,west-georgia
West Virginia,2026,west-virginia
Western Carolina,2026,western-carolina
Western Illinois,2026,western-illinois
Western Kentucky,2026,western-kentucky
Western Michigan,2026,western-michigan
Wichita State,2026,wichita-state
William & Mary,2026,william-mary
Winthrop,2026,winthrop
Wisconsin,2026,wisconsin
Wofford,2026,wofford
Wright State,2026,wright-state
Wyoming,2026,wyoming
Xavier,2026,xavier
Yale,2026,yale
Youngstown State,2026,youngstown-state
