Rk,Gtm,Date,...4,Opp,Type,ScoreRslt,ScoreTm,ScoreOpp,ScoreOT,TeamFG,TeamFGA,TeamFG_pct,Team3P,Team3PA,Team3P_pct,Team2P,Team2PA,Team2P_pct,TeameFG_pct,TeamFT,TeamFTA,TeamFT_pct,TeamORB,TeamDRB,TeamTRB,TeamAST,TeamSTL,TeamBLK,TeamTOV,TeamPF,OpponentFG,OpponentFGA,OpponentFG_pct,Opponent3P,Opponent3PA,Opponent3P_pct,Opponent2P,Opponent2PA,Opponent2P_pct,OpponenteFG_pct,OpponentFT,OpponentFTA,OpponentFT_pct,OpponentORB,OpponentDRB,OpponentTRB,OpponentAST,OpponentSTL,OpponentBLK,OpponentTOV,OpponentPF,team,season,homeaway,team_full,year,alphteam,gameid,Neutral
2,2,2022-11-11,@,Texas A&M,REG (Non-Conf),L,58,77,NA,20,52,.385,8,18,.444,12,34,.353,.462,10,12,.833,9,15,24,12,11,0,20,22,23,44,.523,6,16,.375,17,28,.607,.591,25,35,.714,10,23,33,7,11,3,19,17,abilene-christian,2023,H,Abilene Christian,2026,Abilene Christian,2022-11-11_Abilene Christian_58_Texas A&M_77,0
4,4,2022-11-21,N,Wright State,REG (Non-Conf),L,61,77,NA,25,58,.431,7,22,.318,18,36,.500,.491,4,10,.400,6,20,26,15,11,3,23,23,30,50,.600,5,11,.455,25,39,.641,.650,12,19,.632,1,23,24,18,12,5,18,14,abilene-christian,2023,N,Abilene Christian,2026,Abilene Christian,2022-11-21_Abilene Christian_61_Wright State_77,1
5,5,2022-11-22,N,Weber State,REG (Non-Conf),L,67,77,NA,26,53,.491,9,17,.529,17,36,.472,.575,6,11,.545,2,20,22,20,7,3,15,19,24,51,.471,6,21,.286,18,30,.600,.529,23,25,.920,8,21,29,10,4,0,18,13,abilene-christian,2023,N,Abilene Christian,2026,Abilene Christian,2022-11-22_Abilene Christian_67_Weber State_77,1
6,6,2022-11-23,N,UC Riverside,REG (Non-Conf),L,65,76,NA,22,60,.367,7,24,.292,15,36,.417,.425,14,18,.778,12,17,29,14,7,3,14,21,24,52,.462,9,24,.375,15,28,.536,.548,19,21,.905,9,26,35,16,7,1,17,19,abilene-christian,2023,N,Abilene Christian,2026,Abilene Christian,2022-11-23_Abilene Christian_65_UC Riverside_76,1
7,7,2022-11-27,@,Northern Arizona,REG (Non-Conf),W,92,82,NA,34,60,.567,10,18,.556,24,42,.571,.650,14,22,.636,8,21,29,18,6,2,10,22,28,58,.483,10,22,.455,18,36,.500,.569,16,22,.727,9,21,30,13,3,2,10,18,abilene-christian,2023,H,Abilene Christian,2026,Abilene Christian,2022-11-27_Abilene Christian_92_Northern Arizona_82,0
10,10,2022-12-06,@,Kansas State,REG (Non-Conf),L,64,81,NA,25,55,.455,7,19,.368,18,36,.500,.518,7,12,.583,7,19,26,14,6,2,13,21,31,53,.585,3,12,.250,28,41,.683,.613,16,29,.552,9,23,32,23,7,3,12,13,abilene-christian,2023,H,Abilene Christian,2026,Abilene Christian,2022-12-06_Abilene Christian_64_Kansas State_81,0
12,12,2022-12-17,@,Cal State Bakersfield,REG (Non-Conf),W,65,59,NA,20,49,.408,10,21,.476,10,28,.357,.510,15,22,.682,3,16,19,13,6,1,10,17,22,49,.449,2,9,.222,20,40,.500,.469,13,16,.813,8,26,34,13,3,7,14,24,abilene-christian,2023,H,Abilene Christian,2026,Abilene Christian,2022-12-17_Abilene Christian_65_Cal State Bakersfield_59,0
14,14,2022-12-29,@,Stephen F. Austin,REG (Conf),L,68,75,NA,28,61,.459,6,20,.300,22,41,.537,.508,6,11,.545,9,21,30,19,4,3,12,21,27,57,.474,4,14,.286,23,43,.535,.509,17,25,.680,10,24,34,19,8,3,10,18,abilene-christian,2023,H,Abilene Christian,2026,Abilene Christian,2022-12-29_Abilene Christian_68_Stephen F. Austin_75,0
17,17,2023-01-11,@,Texas Rio Grande Valley,REG (Conf),L,86,103,NA,29,72,.403,5,19,.263,24,53,.453,.438,23,27,.852,8,11,19,23,13,3,10,34,31,46,.674,7,15,.467,24,31,.774,.750,34,48,.708,5,33,38,21,5,10,25,23,abilene-christian,2023,H,Abilene Christian,2026,Abilene Christian,2023-01-11_Abilene Christian_86_Texas Rio Grande Valley_103,0
18,18,2023-01-14,@,Tarleton State,REG (Conf),L,63,72,NA,24,57,.421,5,19,.263,19,38,.500,.465,10,21,.476,10,21,31,15,7,0,12,24,20,45,.444,5,11,.455,15,34,.441,.500,27,36,.750,6,26,32,12,7,3,12,19,abilene-christian,2023,H,Abilene Christian,2026,Abilene Christian,2023-01-14_Abilene Christian_63_Tarleton State_72,0
19,19,2023-01-18,@,Utah Valley,REG (Conf),L,54,84,NA,21,70,.300,4,20,.200,17,50,.340,.329,8,14,.571,11,21,32,14,9,1,9,18,33,62,.532,7,21,.333,26,41,.634,.589,11,15,.733,10,41,51,27,5,7,17,19,abilene-christian,2023,H,Abilene Christian,2026,Abilene Christian,2023-01-18_Abilene Christian_54_Utah Valley_84,0
23,23,2023-02-01,@,Seattle,REG (Conf),W,83,68,NA,34,67,.507,8,16,.500,26,51,.510,.567,7,9,.778,8,30,38,16,7,1,6,15,27,65,.415,9,28,.321,18,37,.486,.485,5,9,.556,9,25,34,13,3,3,11,13,abilene-christian,2023,H,Abilene Christian,2026,Abilene Christian,2023-02-01_Abilene Christian_83_Seattle_68,0
24,24,2023-02-04,@,California Baptist,REG (Conf),W,87,71,NA,27,52,.519,11,20,.550,16,32,.500,.625,22,25,.880,8,20,28,15,7,1,10,20,25,53,.472,6,25,.240,19,28,.679,.528,15,23,.652,8,17,25,16,4,3,13,16,abilene-christian,2023,H,Abilene Christian,2026,Abilene Christian,2023-02-04_Abilene Christian_87_California Baptist_71,0
27,27,2023-02-17,@,Grand Canyon,REG (Conf),L,84,94,NA,28,61,.459,5,18,.278,23,43,.535,.500,23,30,.767,5,13,18,10,10,2,3,23,30,45,.667,10,14,.714,20,31,.645,.778,24,33,.727,5,26,31,7,1,3,17,24,abilene-christian,2023,H,Abilene Christian,2026,Abilene Christian,2023-02-17_Abilene Christian_84_Grand Canyon_94,0
31,31,2023-03-03,@,Sam Houston State,REG (Conf),L,54,72,NA,15,47,.319,3,15,.200,12,32,.375,.351,21,28,.750,5,22,27,11,3,2,7,19,25,54,.463,12,25,.480,13,29,.448,.574,10,18,.556,9,28,37,15,3,2,10,22,abilene-christian,2023,H,Abilene Christian,2026,Abilene Christian,2023-03-03_Abilene Christian_54_Sam Houston State_72,0
32,32,2023-03-07,N,California Baptist,CTOURN,L,62,69,NA,27,67,.403,2,20,.100,25,47,.532,.418,6,9,.667,12,24,36,16,6,0,12,25,22,47,.468,8,18,.444,14,29,.483,.553,17,27,.630,4,26,30,15,5,2,16,19,abilene-christian,2023,N,Abilene Christian,2026,Abilene Christian,2023-03-07_Abilene Christian_62_California Baptist_69,1
1,1,2022-11-07,@,Bowling Green,REG (Non-Conf),L,58,62,NA,22,55,.400,12,34,.353,10,21,.476,.509,2,4,.500,2,25,27,11,5,6,11,17,22,56,.393,6,20,.300,16,36,.444,.446,12,19,.632,6,29,35,9,8,2,13,14,air-force,2023,H,Air Force,2026,Air Force,2022-11-07_Air Force_58_Bowling Green_62,0
9,9,2022-12-03,@,Portland State,REG (Non-Conf),L,64,68,NA,18,45,.400,5,21,.238,13,24,.542,.456,23,34,.676,6,21,27,14,5,1,14,23,22,44,.500,4,17,.235,18,27,.667,.545,20,27,.741,1,22,23,12,5,2,13,29,air-force,2023,H,Air Force,2026,Air Force,2022-12-03_Air Force_64_Portland State_68,0
13,13,2022-12-20,@,Northern Colorado,REG (Non-Conf),W,67,65,NA,24,55,.436,5,22,.227,19,33,.576,.482,14,21,.667,5,27,32,11,3,5,7,16,23,58,.397,5,23,.217,18,35,.514,.440,14,19,.737,8,30,38,13,2,2,11,19,air-force,2023,H,Air Force,2026,Air Force,2022-12-20_Air Force_67_Northern Colorado_65,0
14,14,2022-12-28,@,San Diego State,REG (Conf),L,55,71,NA,21,49,.429,8,22,.364,13,27,.481,.510,5,5,1.000,4,13,17,15,7,2,14,16,24,49,.490,11,23,.478,13,26,.500,.602,12,18,.667,9,21,30,10,8,5,13,13,air-force,2023,H,Air Force,2026,Air Force,2022-12-28_Air Force_55_San Diego State_71,0
17,17,2023-01-10,@,Colorado State,REG (Conf),W,85,74,OT,31,61,.508,7,19,.368,24,42,.571,.566,16,19,.842,9,25,34,17,6,2,9,22,25,57,.439,3,12,.250,22,45,.489,.465,21,25,.840,5,17,22,19,6,4,8,18,air-force,2023,H,Air Force,2026,Air Force,2023-01-10_Air Force_85_Colorado State_74,0
18,18,2023-01-14,@,Fresno State,REG (Conf),W,51,48,NA,17,54,.315,9,25,.360,8,29,.276,.398,8,9,.889,9,21,30,15,4,3,10,11,20,53,.377,2,15,.133,18,38,.474,.396,6,7,.857,10,23,33,4,6,6,11,9,air-force,2023,H,Air Force,2026,Air Force,2023-01-14_Air Force_51_Fresno State_48,0
21,21,2023-01-24,@,San Jose State,REG (Conf),L,52,82,NA,19,49,.388,4,22,.182,15,27,.556,.429,10,11,.909,5,13,18,9,2,7,6,12,34,59,.576,5,14,.357,29,45,.644,.619,9,14,.643,8,23,31,13,3,1,5,9,air-force,2023,H,Air Force,2026,Air Force,2023-01-24_Air Force_52_San Jose State_82,0
22,22,2023-01-27,@,New Mexico,REG (Conf),L,73,81,NA,26,55,.473,9,26,.346,17,29,.586,.555,12,15,.800,4,21,25,18,3,3,12,21,28,53,.528,5,17,.294,23,36,.639,.575,20,26,.769,6,24,30,11,9,5,10,15,air-force,2023,H,Air Force,2026,Air Force,2023-01-27_Air Force_73_New Mexico_81,0
24,24,2023-02-03,@,Nevada,REG (Conf),L,52,72,NA,19,45,.422,9,24,.375,10,21,.476,.522,5,12,.417,3,16,19,13,4,4,9,26,22,46,.478,4,13,.308,18,33,.545,.522,24,32,.750,6,27,33,16,3,2,7,16,air-force,2023,H,Air Force,2026,Air Force,2023-02-03_Air Force_52_Nevada_72,0
27,27,2023-02-14,@,Utah State,REG (Conf),L,65,80,NA,24,55,.436,7,22,.318,17,33,.515,.500,10,12,.833,3,23,26,14,6,4,8,15,29,60,.483,9,22,.409,20,38,.526,.558,13,15,.867,7,30,37,15,5,1,8,12,air-force,2023,H,Air Force,2026,Air Force,2023-02-14_Air Force_65_Utah State_80,0
28,28,2023-02-17,@,Wyoming,REG (Conf),W,75,69,NA,23,42,.548,8,17,.471,15,25,.600,.643,21,29,.724,2,24,26,15,7,1,12,18,22,52,.423,6,26,.231,16,26,.615,.481,19,26,.731,5,20,25,9,5,5,10,25,air-force,2023,H,Air Force,2026,Air Force,2023-02-17_Air Force_75_Wyoming_69,0
30,30,2023-02-24,@,UNLV,REG (Conf),L,53,54,NA,20,51,.392,7,22,.318,13,29,.448,.461,6,8,.750,4,23,27,15,11,5,14,17,22,53,.415,3,20,.150,19,33,.576,.443,7,10,.700,7,25,32,9,8,5,16,14,air-force,2023,H,Air Force,2026,Air Force,2023-02-24_Air Force_53_UNLV_54,0
32,32,2023-03-08,@,UNLV,CTOURN,L,70,78,OT,22,57,.386,8,23,.348,14,34,.412,.456,18,20,.900,7,26,33,14,2,2,16,20,25,59,.424,9,24,.375,16,35,.457,.500,19,26,.731,11,24,35,14,11,5,13,21,air-force,2023,H,Air Force,2026,Air Force,2023-03-08_Air Force_70_UNLV_78,0
2,2,2022-11-11,N,Mississippi State,REG (Non-Conf),L,54,73,NA,16,49,.327,6,27,.222,10,22,.455,.388,16,24,.667,5,15,20,13,8,1,9,15,29,55,.527,7,14,.500,22,41,.537,.591,8,13,.615,10,30,40,17,9,0,14,21,akron,2023,N,Akron,2026,Akron,2022-11-11_Akron_54_Mississippi State_73,1
4,4,2022-11-21,N,Western Kentucky,REG (Non-Conf),W,72,53,NA,27,48,.563,9,22,.409,18,26,.692,.656,9,15,.600,9,30,39,10,3,0,13,16,20,54,.370,6,21,.286,14,33,.424,.426,7,13,.538,4,10,14,12,7,1,5,14,akron,2023,N,Akron,2026,Akron,2022-11-21_Akron_72_Western Kentucky_53,1
5,5,2022-11-22,N,Louisiana State,REG (Non-Conf),L,58,73,NA,14,54,.259,8,25,.320,6,29,.207,.333,22,30,.733,15,16,31,8,4,1,13,14,25,52,.481,9,19,.474,16,33,.485,.567,14,16,.875,5,20,25,14,9,3,9,23,akron,2023,N,Akron,2026,Akron,2022-11-22_Akron_58_Louisiana State_73,1
6,6,2022-11-23,N,Nevada,REG (Non-Conf),L,58,62,NA,22,51,.431,7,22,.318,15,29,.517,.500,7,11,.636,3,26,29,8,6,1,13,19,21,57,.368,9,21,.429,12,36,.333,.447,11,13,.846,8,22,30,13,3,3,9,14,akron,2023,N,Akron,2026,Akron,2022-11-23_Akron_58_Nevada_62,1
7,7,2022-11-30,@,Marshall,REG (Non-Conf),L,57,68,NA,24,71,.338,5,25,.200,19,46,.413,.373,4,11,.364,14,30,44,12,5,0,10,15,25,61,.410,8,28,.286,17,33,.515,.475,10,15,.667,6,27,33,13,8,9,10,13,akron,2023,H,Akron,2026,Akron,2022-11-30_Akron_57_Marshall_68,0
12,12,2022-12-22,@,Bradley,REG (Non-Conf),L,55,74,NA,16,57,.281,8,21,.381,8,36,.222,.351,15,18,.833,10,29,39,6,5,2,15,12,27,64,.422,14,30,.467,13,34,.382,.531,6,9,.667,8,29,37,16,9,4,8,19,akron,2023,H,Akron,2026,Akron,2022-12-22_Akron_55_Bradley_74,0
