Rk,Gtm,Date,...4,Opp,Type,ScoreRslt,ScoreTm,ScoreOpp,ScoreOT,TeamFG,TeamFGA,TeamFG_pct,Team3P,Team3PA,Team3P_pct,Team2P,Team2PA,Team2P_pct,TeameFG_pct,TeamFT,TeamFTA,TeamFT_pct,TeamORB,TeamDRB,TeamTRB,TeamAST,TeamSTL,TeamBLK,TeamTOV,TeamPF,OpponentFG,OpponentFGA,OpponentFG_pct,Opponent3P,Opponent3PA,Opponent3P_pct,Opponent2P,Opponent2PA,Opponent2P_pct,OpponenteFG_pct,OpponentFT,OpponentFTA,OpponentFT_pct,OpponentORB,OpponentDRB,OpponentTRB,OpponentAST,OpponentSTL,OpponentBLK,OpponentTOV,OpponentPF,team,season,homeaway,team_full,year,alphteam,gameid,Neutral
4,4,2025-11-14,@,Stephen F. Austin,REG (Non-Conf),L,66,76,NA,24,57,.421,2,10,.200,22,47,.468,.439,16,19,.842,8,27,35,12,4,5,10,21,24,53,.453,13,23,.565,11,30,.367,.575,15,26,.577,4,22,26,14,5,5,7,15,abilene-christian,2026,H,Abilene Christian,2026,Abilene Christian,2025-11-14_Abilene Christian_66_Stephen F. Austin_76,0
5,5,2025-11-18,@,Texas State,REG (Non-Conf),L,49,63,NA,17,55,.309,5,15,.333,12,40,.300,.355,10,19,.526,12,15,27,6,14,5,14,19,21,46,.457,5,8,.625,16,38,.421,.511,16,22,.727,10,23,33,8,11,9,18,15,abilene-christian,2026,H,Abilene Christian,2026,Abilene Christian,2025-11-18_Abilene Christian_49_Texas State_63,0
6,6,2025-11-24,N,UTSA,REG (Non-Conf),W,61,50,NA,20,58,.345,9,22,.409,11,36,.306,.422,12,17,.706,16,21,37,11,12,5,12,19,16,44,.364,3,15,.200,13,29,.448,.398,15,27,.556,3,19,22,5,11,2,14,15,abilene-christian,2026,N,Abilene Christian,2026,Abilene Christian,2025-11-24_Abilene Christian_61_UTSA_50,1
7,7,2025-11-25,N,William & Mary,REG (Non-Conf),L,58,92,NA,23,60,.383,6,27,.222,17,33,.515,.433,6,17,.353,9,15,24,15,12,1,19,23,33,51,.647,6,16,.375,27,35,.771,.706,20,30,.667,5,25,30,20,12,5,14,14,abilene-christian,2026,N,Abilene Christian,2026,Abilene Christian,2025-11-25_Abilene Christian_58_William & Mary_92,1
9,9,2025-12-02,@,Pepperdine,REG (Non-Conf),W,71,63,NA,23,52,.442,8,22,.364,15,30,.500,.519,17,23,.739,9,19,28,17,8,6,7,23,19,45,.422,6,17,.353,13,28,.464,.489,19,25,.760,5,19,24,13,2,1,9,14,abilene-christian,2026,H,Abilene Christian,2026,Abilene Christian,2025-12-02_Abilene Christian_71_Pepperdine_63,0
11,11,2025-12-16,@,Arizona,REG (Non-Conf),L,62,96,NA,20,56,.357,6,16,.375,14,40,.350,.411,16,25,.640,9,10,19,11,13,0,16,26,30,45,.667,6,14,.429,24,31,.774,.733,30,38,.789,6,30,36,18,12,5,18,19,abilene-christian,2026,H,Abilene Christian,2026,Abilene Christian,2025-12-16_Abilene Christian_62_Arizona_96,0
12,12,2025-12-19,@,Brigham Young,REG (Non-Conf),L,67,85,NA,24,59,.407,5,16,.313,19,43,.442,.449,14,15,.933,7,14,21,14,7,0,15,30,25,42,.595,6,16,.375,19,26,.731,.667,29,40,.725,6,23,29,15,12,9,17,11,abilene-christian,2026,H,Abilene Christian,2026,Abilene Christian,2025-12-19_Abilene Christian_67_Brigham Young_85,0
13,13,2025-12-22,@,Texas Southern,REG (Non-Conf),W,75,68,NA,24,50,.480,5,19,.263,19,31,.613,.530,22,27,.815,7,22,29,9,8,1,14,19,26,50,.520,3,11,.273,23,39,.590,.550,13,19,.684,3,20,23,6,10,4,12,23,abilene-christian,2026,H,Abilene Christian,2026,Abilene Christian,2025-12-22_Abilene Christian_75_Texas Southern_68,0
16,16,2026-01-08,@,Tarleton State,REG (Conf),W,84,80,NA,29,52,.558,7,17,.412,22,35,.629,.625,19,26,.731,10,20,30,15,5,4,18,26,26,56,.464,1,6,.167,25,50,.500,.473,27,29,.931,9,15,24,6,12,3,14,24,abilene-christian,2026,H,Abilene Christian,2026,Abilene Christian,2026-01-08_Abilene Christian_84_Tarleton State_80,0
17,17,2026-01-10,@,UT Arlington,REG (Conf),L,72,82,NA,23,45,.511,5,12,.417,18,33,.545,.567,21,32,.656,5,12,17,12,9,5,10,20,26,51,.510,5,13,.385,21,38,.553,.559,25,29,.862,9,18,27,10,6,3,13,23,abilene-christian,2026,H,Abilene Christian,2026,Abilene Christian,2026-01-10_Abilene Christian_72_UT Arlington_82,0
19,19,2026-01-17,@,Southern Utah,REG (Conf),L,52,74,NA,15,63,.238,3,18,.167,12,45,.267,.262,19,25,.760,13,21,34,10,12,3,14,14,28,58,.483,8,22,.364,20,36,.556,.552,10,14,.714,8,30,38,15,7,7,17,19,abilene-christian,2026,H,Abilene Christian,2026,Abilene Christian,2026-01-17_Abilene Christian_52_Southern Utah_74,0
23,23,2026-02-05,@,Utah Valley,REG (Conf),L,55,68,NA,19,50,.380,10,18,.556,9,32,.281,.480,7,15,.467,8,18,26,17,11,4,18,20,26,51,.510,5,15,.333,21,36,.583,.559,11,21,.524,10,23,33,20,14,9,18,15,abilene-christian,2026,H,Abilene Christian,2026,Abilene Christian,2026-02-05_Abilene Christian_55_Utah Valley_68,0
24,24,2026-02-07,@,California Baptist,REG (Conf),L,63,65,NA,21,59,.356,3,19,.158,18,40,.450,.381,18,26,.692,11,28,39,7,5,0,12,28,17,50,.340,7,14,.500,10,36,.278,.410,24,34,.706,11,24,35,8,3,5,11,23,abilene-christian,2026,H,Abilene Christian,2026,Abilene Christian,2026-02-07_Abilene Christian_63_California Baptist_65,0
27,27,2026-02-16,@,Tarleton State,REG (Conf),L,62,65,OT,23,62,.371,2,19,.105,21,43,.488,.387,14,25,.560,13,26,39,11,13,1,18,26,18,41,.439,3,12,.250,15,29,.517,.476,26,35,.743,2,24,26,6,15,7,19,22,abilene-christian,2026,H,Abilene Christian,2026,Abilene Christian,2026-02-16_Abilene Christian_62_Tarleton State_65,0
29,29,2026-02-26,@,Utah Tech,REG (Conf),L,81,85,NA,30,62,.484,7,22,.318,23,40,.575,.540,14,16,.875,5,19,24,15,7,0,6,19,33,54,.611,8,19,.421,25,35,.714,.685,11,15,.733,4,23,27,17,4,2,12,14,abilene-christian,2026,H,Abilene Christian,2026,Abilene Christian,2026-02-26_Abilene Christian_81_Utah Tech_85,0
30,30,2026-02-28,@,Utah Valley,REG (Conf),L,67,74,NA,18,47,.383,7,18,.389,11,29,.379,.457,24,29,.828,9,22,31,14,13,2,17,20,26,46,.565,7,16,.438,19,30,.633,.641,15,25,.600,5,23,28,18,11,8,16,22,abilene-christian,2026,H,Abilene Christian,2026,Abilene Christian,2026-02-28_Abilene Christian_67_Utah Valley_74,0
31,31,2026-03-05,@,California Baptist,REG (Conf),L,48,87,NA,14,42,.333,4,15,.267,10,27,.370,.381,16,30,.533,5,17,22,5,7,1,21,25,31,53,.585,7,15,.467,24,38,.632,.651,18,33,.545,7,25,32,11,11,4,13,20,abilene-christian,2026,H,Abilene Christian,2026,Abilene Christian,2026-03-05_Abilene Christian_48_California Baptist_87,0
1,1,2025-11-03,@,Belmont,REG (Non-Conf),L,63,79,NA,24,47,.511,8,21,.381,16,26,.615,.596,7,9,.778,8,22,30,15,7,2,18,18,26,55,.473,6,22,.273,20,33,.606,.527,21,25,.840,7,14,21,16,8,1,8,15,air-force,2026,H,Air Force,2026,Air Force,2025-11-03_Air Force_63_Belmont_79,0
9,9,2025-11-29,N,South Dakota,REG (Non-Conf),L,63,80,NA,18,44,.409,1,10,.100,17,34,.500,.420,26,35,.743,4,17,21,8,9,4,11,22,29,60,.483,4,17,.235,25,43,.581,.517,18,25,.720,12,25,37,14,6,0,14,22,air-force,2026,N,Air Force,2026,Air Force,2025-11-29_Air Force_63_South Dakota_80,1
11,11,2025-12-07,@,Navy,REG (Non-Conf),L,56,61,NA,21,53,.396,6,25,.240,15,28,.536,.453,8,14,.571,5,26,31,11,4,5,11,17,21,53,.396,5,15,.333,16,38,.421,.443,14,15,.933,5,28,33,15,5,4,8,16,air-force,2026,H,Air Force,2026,Air Force,2025-12-07_Air Force_56_Navy_61,0
12,12,2025-12-17,@,San Diego State,REG (Conf),L,58,81,NA,19,46,.413,8,24,.333,11,22,.500,.500,12,16,.750,4,19,23,9,5,4,13,12,31,61,.508,10,22,.455,21,39,.538,.590,9,13,.692,11,20,31,27,8,5,10,13,air-force,2026,H,Air Force,2026,Air Force,2025-12-17_Air Force_58_San Diego State_81,0
14,14,2026-01-03,@,UNLV,REG (Conf),L,39,67,NA,15,54,.278,3,19,.158,12,35,.343,.306,6,13,.462,7,23,30,9,6,2,11,16,26,60,.433,4,17,.235,22,43,.512,.467,11,20,.550,15,32,47,14,5,6,11,19,air-force,2026,H,Air Force,2026,Air Force,2026-01-03_Air Force_39_UNLV_67,0
17,17,2026-01-13,@,San Jose State,REG (Conf),L,62,70,NA,21,47,.447,8,22,.364,13,25,.520,.532,12,15,.800,9,18,27,9,7,1,15,19,23,49,.469,6,16,.375,17,33,.515,.531,18,24,.750,8,16,24,9,5,3,8,19,air-force,2026,H,Air Force,2026,Air Force,2026-01-13_Air Force_62_San Jose State_70,0
19,19,2026-01-20,@,Colorado State,REG (Conf),L,52,81,NA,19,53,.358,5,30,.167,14,23,.609,.406,9,12,.750,6,23,29,8,3,0,13,20,28,54,.519,10,24,.417,18,30,.600,.611,15,23,.652,6,29,35,17,10,4,4,12,air-force,2026,H,Air Force,2026,Air Force,2026-01-20_Air Force_52_Colorado State_81,0
20,20,2026-01-24,@,Boise State,REG (Conf),L,54,96,NA,20,48,.417,8,22,.364,12,26,.462,.500,6,11,.545,3,14,17,10,1,3,11,20,33,58,.569,12,23,.522,21,35,.600,.672,18,25,.720,10,27,37,18,7,3,4,18,air-force,2026,H,Air Force,2026,Air Force,2026-01-24_Air Force_54_Boise State_96,0
22,22,2026-02-03,@,Grand Canyon,REG (Conf),L,57,81,NA,20,51,.392,6,21,.286,14,30,.467,.451,11,12,.917,5,21,26,12,6,1,18,21,32,61,.525,7,23,.304,25,38,.658,.582,10,21,.476,11,25,36,13,13,4,10,14,air-force,2026,H,Air Force,2026,Air Force,2026-02-03_Air Force_57_Grand Canyon_81,0
25,25,2026-02-14,@,Fresno State,REG (Conf),L,63,93,NA,21,54,.389,9,29,.310,12,25,.480,.472,12,15,.800,5,22,27,14,5,1,17,23,32,58,.552,7,23,.304,25,35,.714,.612,22,31,.710,8,27,35,15,9,4,9,15,air-force,2026,H,Air Force,2026,Air Force,2026-02-14_Air Force_63_Fresno State_93,0
