Rk,Gtm,Date,...4,Opp,Type,ScoreRslt,ScoreTm,ScoreOpp,ScoreOT,TeamFG,TeamFGA,TeamFG_pct,Team3P,Team3PA,Team3P_pct,Team2P,Team2PA,Team2P_pct,TeameFG_pct,TeamFT,TeamFTA,TeamFT_pct,TeamORB,TeamDRB,TeamTRB,TeamAST,TeamSTL,TeamBLK,TeamTOV,TeamPF,OpponentFG,OpponentFGA,OpponentFG_pct,Opponent3P,Opponent3PA,Opponent3P_pct,Opponent2P,Opponent2PA,Opponent2P_pct,OpponenteFG_pct,OpponentFT,OpponentFTA,OpponentFT_pct,OpponentORB,OpponentDRB,OpponentTRB,OpponentAST,OpponentSTL,OpponentBLK,OpponentTOV,OpponentPF,team,season
1,1,2021-11-09,@,Utah,REG (Non-Conf),L,56,70,,22,57,.386,4,21,.190,18,36,.500,.421,8,17,.471,7,20,27,11,9,6,10,24,24,62,.387,7,23,.304,17,39,.436,.444,15,23,.652,19,33,52,12,5,3,20,22,abilene-christian,2022
2,2,2021-11-12,@,Texas A&M,REG (Non-Conf),L,80,81,2OT,32,73,.438,10,26,.385,22,47,.468,.507,6,13,.462,14,21,35,22,13,0,16,23,24,54,.444,9,21,.429,15,33,.455,.528,24,33,.727,10,29,39,14,8,6,20,15,abilene-christian,2022
3,3,2021-11-16,@,UT Arlington,REG (Non-Conf),W,80,71,OT,22,67,.328,7,20,.350,15,47,.319,.381,29,38,.763,17,23,40,13,15,0,14,25,24,51,.471,6,14,.429,18,37,.486,.529,17,24,.708,7,30,37,16,8,7,26,30,abilene-christian,2022
4,4,2021-11-27,,McMurry,REG (Non-Conf),W,89,54,,34,64,.531,5,20,.250,29,44,.659,.570,16,24,.667,11,25,36,24,17,2,14,18,17,43,.395,7,24,.292,10,19,.526,.477,13,18,.722,2,20,22,12,6,0,28,22,abilene-christian,2022
5,5,2021-11-29,,Schreiner,REG (Non-Conf),W,88,47,,34,67,.507,6,21,.286,28,46,.609,.552,14,16,.875,15,18,33,19,18,5,16,21,16,44,.364,3,20,.150,13,24,.542,.398,12,18,.667,8,15,23,6,9,1,32,19,abilene-christian,2022
6,6,2021-12-01,,Dallas,REG (Non-Conf),W,108,65,,39,77,.506,10,27,.370,29,50,.580,.571,20,25,.800,13,27,40,24,7,2,6,27,18,52,.346,5,16,.313,13,36,.361,.394,24,31,.774,8,24,32,10,4,3,18,19,abilene-christian,2022
7,7,2021-12-04,,Incarnate Word,REG (Non-Conf),W,98,65,,36,66,.545,12,24,.500,24,42,.571,.636,14,20,.700,9,20,29,17,10,0,8,21,20,43,.465,5,20,.250,15,23,.652,.523,20,25,.800,0,22,22,10,3,2,18,21,abilene-christian,2022
8,8,2021-12-11,,Drexel,REG (Non-Conf),W,73,56,,26,63,.413,8,20,.400,18,43,.419,.476,13,20,.650,8,26,34,12,4,0,14,22,19,57,.333,5,29,.172,14,28,.500,.377,13,18,.722,10,29,39,6,7,4,13,20,abilene-christian,2022
9,9,2021-12-15,,Cal State Bakersfield,REG (Non-Conf),W,69,59,,17,44,.386,5,17,.294,12,27,.444,.443,30,40,.750,9,22,31,11,14,3,20,22,22,56,.393,4,11,.364,18,45,.400,.429,11,20,.550,12,24,36,6,9,2,24,30,abilene-christian,2022
10,10,2021-12-19,,Howard Payne,REG (Non-Conf),W,112,41,,42,76,.553,7,25,.280,35,51,.686,.599,21,24,.875,14,30,44,17,18,2,9,17,12,46,.261,6,22,.273,6,24,.250,.326,11,13,.846,3,18,21,3,6,2,30,19,abilene-christian,2022
